"Country","People Living with T1D","People who should still be alive today","Healthy years of life lost per person","Healthy years of life lost to treatment","Healthy years of life lost to treatment (Peers)","Healthy years of life lost to complications","Healthy years of life lost to complications (Peers)","Healthy years of life lost to shorter life","Healthy years of life lost to shorter life (Peers)","Healthy years of life lost to cost of care","Healthy years of life lost to cost of care (Peers)","Healthy years of life lost to mental health","Healthy years of life lost to mental health (Peers)","Healthy years of life lost to quality of life","Healthy years of life lost to quality of life (Peers)","Healthy years stolen","Healthy years stolen (Peers)","Healthy years remaining","Healthy years remaining (Peers)","Percentage of families impacted by T1D in 1990","Percentage of families impacted by T1D in 2022","Percentage of families impacted by T1D in 2040","T1D growth from 2000-2000","T1D growth from 2000-2001","T1D growth from 2000-2002","T1D growth from 2000-2003","T1D growth from 2000-2004","T1D growth from 2000-2005","T1D growth from 2000-2006","T1D growth from 2000-2007","T1D growth from 2000-2008","T1D growth from 2000-2009","T1D growth from 2000-2010","T1D growth from 2000-2011","T1D growth from 2000-2012","T1D growth from 2000-2013","T1D growth from 2000-2014","T1D growth from 2000-2015","T1D growth from 2000-2016","T1D growth from 2000-2017","T1D growth from 2000-2018","T1D growth from 2000-2019","T1D growth from 2000-2020","T1D growth from 2000-2021","T1D growth from 2000-2022","Population growth from 2000-2000","Population growth from 2000-2001","Population growth from 2000-2002","Population growth from 2000-2003","Population growth from 2000-2004","Population growth from 2000-2005","Population growth from 2000-2006","Population growth from 2000-2007","Population growth from 2000-2008","Population growth from 2000-2009","Population growth from 2000-2010","Population growth from 2000-2011","Population growth from 2000-2012","Population growth from 2000-2013","Population growth from 2000-2014","Population growth from 2000-2015","Population growth from 2000-2016","Population growth from 2000-2017","Population growth from 2000-2018","Population growth from 2000-2019","Population growth from 2000-2020","Population growth from 2000-2021","Population growth from 2000-2022","T2D growth from 2000-2000","T2D growth from 2000-2001","T2D growth from 2000-2002","T2D growth from 2000-2003","T2D growth from 2000-2004","T2D growth from 2000-2005","T2D growth from 2000-2006","T2D growth from 2000-2007","T2D growth from 2000-2008","T2D growth from 2000-2009","T2D growth from 2000-2010","T2D growth from 2000-2011","T2D growth from 2000-2012","T2D growth from 2000-2013","T2D growth from 2000-2014","T2D growth from 2000-2015","T2D growth from 2000-2016","T2D growth from 2000-2017","T2D growth from 2000-2018","T2D growth from 2000-2019","T2D growth from 2000-2020","T2D growth from 2000-2021","T2D growth from 2000-2022","HIV growth from 2000-2000","HIV growth from 2000-2001","HIV growth from 2000-2002","HIV growth from 2000-2003","HIV growth from 2000-2004","HIV growth from 2000-2005","HIV growth from 2000-2006","HIV growth from 2000-2007","HIV growth from 2000-2008","HIV growth from 2000-2009","HIV growth from 2000-2010","HIV growth from 2000-2011","HIV growth from 2000-2012","HIV growth from 2000-2013","HIV growth from 2000-2014","HIV growth from 2000-2015","HIV growth from 2000-2016","HIV growth from 2000-2017","HIV growth from 2000-2018","HIV growth from 2000-2019","HIV growth from 2000-2020","HIV growth from 2000-2021","HIV growth from 2000-2022","Asthma growth from 2000-2000","Asthma growth from 2000-2001","Asthma growth from 2000-2002","Asthma growth from 2000-2003","Asthma growth from 2000-2004","Asthma growth from 2000-2005","Asthma growth from 2000-2006","Asthma growth from 2000-2007","Asthma growth from 2000-2008","Asthma growth from 2000-2009","Asthma growth from 2000-2010","Asthma growth from 2000-2011","Asthma growth from 2000-2012","Asthma growth from 2000-2013","Asthma growth from 2000-2014","Asthma growth from 2000-2015","Asthma growth from 2000-2016","Asthma growth from 2000-2017","Asthma growth from 2000-2018","Asthma growth from 2000-2019","Asthma growth from 2000-2020","Asthma growth from 2000-2021","Asthma growth from 2000-2022","Tuberculosis growth from 2000-2000","Tuberculosis growth from 2000-2001","Tuberculosis growth from 2000-2002","Tuberculosis growth from 2000-2003","Tuberculosis growth from 2000-2004","Tuberculosis growth from 2000-2005","Tuberculosis growth from 2000-2006","Tuberculosis growth from 2000-2007","Tuberculosis growth from 2000-2008","Tuberculosis growth from 2000-2009","Tuberculosis growth from 2000-2010","Tuberculosis growth from 2000-2011","Tuberculosis growth from 2000-2012","Tuberculosis growth from 2000-2013","Tuberculosis growth from 2000-2014","Tuberculosis growth from 2000-2015","Tuberculosis growth from 2000-2016","Tuberculosis growth from 2000-2017","Tuberculosis growth from 2000-2018","Tuberculosis growth from 2000-2019","Tuberculosis growth from 2000-2020","Tuberculosis growth from 2000-2021","Tuberculosis growth from 2000-2022","Life expectancy from age 10","Healthy years lost when developing T1D","Healthy years restored with onset diagnosis","Perctange of children with T1D undiagnosed","Uncelebrated birthdays this year","Educational poster cost in dollars","Healthy years restored with insulin and strips","Lives lost without insulin and strips","Uncelebrated birthdays this year2","Healthy hours restored with each test strip","Healthy years restored with device uptake","Days per year managing T1D without devices","Days per year restored through devices","T1D_growth_rate","Population_growth_rate","HIV_growth_rate","T2D_growth_rate","Asthma_growth_rate","Tuberculosis_growth_rate","t1d_index_dashboar_url","t1d_index_version"
"Iran",104230.04,36013.9,32.67000000000001,2.33,1.47,8.65,4.93,21.690000000000005,21.690000000000005,"TBD","TBD","TBD","TBD","TBD","TBD",32.67000000000001,29.21,46.17,47.93,"1.63%","1.43%","3.42%","100%","107.66%","115.69%","124.17%","133.09%","142.26%","151.67%","161.58%","172.02%","183.01%","194.36%","206.46%","219.21%","232.43%","246.08%","260.34%","275.12%","290.33%","305.89%","321.98%","338.77%","355.7%","373.26%","100%","101.26%","102.53%","103.81%","105.07%","106.31%","107.51%","108.71%","109.9%","111.13%","112.4%","113.73%","115.11%","116.55%","118.05%","119.61%","121.24%","122.93%","124.65%","126.35%","127.99%","129.57%","131.09%","100%","106.9%","114.79%","123.36%","132.09%","140.57%","149.42%","159.35%","169.91%","180.46%","190.28%","199.23%","207.84%","216.55%","225.7%","235.67%","252.95%","272.4%","287.29%","301.84%","301.84%","301.84%","301.84%","100%","114.7%","129.95%","145.48%","161.11%","174.66%","188.19%","204.82%","223.09%","242.54%","256.64%","272.33%","296.05%","324.4%","360.54%","406.22%","460.01%","519.06%","577.46%","634.2%","634.2%","634.2%","634.2%","100%","100.19%","100.2%","100.15%","99.82%","99.41%","98.72%","97.56%","96.24%","94.99%","94.25%","94.19%","94.51%","95.12%","95.87%","96.69%","98.15%","99.98%","101.57%","103.14%","103.14%","103.14%","103.14%","100%","102.4%","104.88%","107.62%","110.36%","113.17%","116.88%","121.57%","126.48%","130.71%","133.64%","135.56%","137.13%","138.49%","139.67%","140.8%","141.82%","142.76%","143.67%","144.47%","144.47%","144.47%","144.47%",78.84,32.67000000000001,5.6,"6.3%",12209.9,1,8.9,10836.2,12209.9,1.3067665587021007,5.1,18,41.03166983020928,6.17,1.24,8.76,5.15,0.14,1.69,"https://t1dindex.shinyapps.io/dashboard/?loc_id=364","1.0.4.15"
"Israel",23760.96,1202.41,14.08999999999999,3.44,2.55,6.53,6.65,4.11999999999999,7.683999999999994,"TBD","TBD","TBD","TBD","TBD","TBD",14.08999999999999,18.136000000000003,69.96000000000001,64.628,"1.58%","3.89%","5.11%","100%","106.11%","113.03%","120.96%","129.44%","137.9%","147.69%","158.57%","169.74%","180.89%","192.23%","202.75%","213.03%","223.05%","233.01%","243.35%","253.65%","264.48%","275.69%","287.01%","298.56%","310.08%","321.71%","100%","101.93%","103.76%","105.59%","107.58%","109.81%","112.35%","115.15%","118.08%","120.92%","123.55%","125.92%","128.06%","130.08%","132.09%","134.18%","136.37%","138.64%","140.95%","143.27%","145.56%","147.81%","150.05%","100%","104.67%","109.57%","114.43%","119.37%","124.8%","131.14%","138.67%","146.41%","153.84%","160.55%","166.46%","172.26%","177.71%","183.08%","188.84%","188.27%","187.45%","195.13%","206.94%","206.94%","206.94%","206.94%","100%","110.13%","122.27%","136.18%","150.87%","166.37%","183.35%","201.42%","219.7%","237.9%","255.67%","273.24%","291.69%","310.09%","328.28%","346.61%","364.81%","383.17%","401.27%","419.18%","419.18%","419.18%","419.18%","100%","100.56%","101.26%","102.06%","103.04%","104.2%","105.68%","107.51%","109.49%","111.45%","113.17%","114.5%","115.56%","116.63%","117.98%","119.94%","123.89%","128.1%","131.05%","133.95%","133.95%","133.95%","133.95%","100%","99.81%","99.48%","99.12%","98.82%","98.65%","98.63%","98.65%","98.74%","98.85%","98.94%","98.99%","98.98%","99.02%","99.09%","99.23%","99.46%","99.77%","100.1%","100.36%","100.36%","100.36%","100.36%",84.05,14.08999999999999,0,"0%",0,1,0,103.47,0,1.1117573827244247,1.6,18,39.719947229636006,5.45,1.86,6.73,3.36,1.34,0.02,"https://t1dindex.shinyapps.io/dashboard/?loc_id=376","1.0.4.15"
"Italy",186754.91,19818.86,16.360000000000014,3.39,2.55,7.4,6.65,5.570000000000007,7.683999999999994,"TBD","TBD","TBD","TBD","TBD","TBD",16.360000000000014,18.136000000000003,68.18,64.628,"1.01%","1.79%","1.93%","100%","103.1%","106.1%","110.17%","114.71%","119.14%","122.84%","125.5%","128.07%","130.16%","132.71%","136.16%","139.26%","141.95%","144.61%","147.22%","149.52%","151.72%","153.9%","155.93%","158.07%","160.06%","162.04%","100%","100.32%","100.86%","101.54%","102.21%","102.8%","103.26%","103.62%","103.92%","104.25%","104.63%","105.1%","105.61%","106.11%","106.54%","106.83%","106.98%","107%","106.92%","106.79%","106.63%","106.46%","106.27%","100%","105.43%","113.44%","122.29%","130.29%","135.36%","138.25%","141.23%","144.01%","146.49%","148.48%","147.52%","143%","137.15%","132.56%","131.85%","137.64%","145.04%","150.64%","156.48%","156.48%","156.48%","156.48%","100%","101.05%","102.51%","104.25%","106.35%","108.81%","111.48%","114.4%","117.49%","120.77%","124.27%","128.07%","132.03%","136.02%","140.12%","144.38%","148.83%","153.45%","158.37%","163.41%","163.41%","163.41%","163.41%","100%","96.47%","92.95%","89.67%","86.87%","84.69%","83.13%","82.01%","81.03%","79.91%","78.34%","75.48%","71.38%","67.11%","63.73%","62.28%","67.85%","73.59%","73.74%","73.6%","73.6%","73.6%","73.6%","100%","98.03%","96.09%","94.4%","93.16%","92.46%","92.15%","92.03%","91.98%","91.82%","91.38%","90.39%","88.87%","87.19%","85.67%","84.68%","84.22%","83.71%","82.76%","81.4%","81.4%","81.4%","81.4%",84.54,16.360000000000014,0,"0%",0,1,0,2023.71,0,1.1117573827244247,3.5,18,39.719947229636006,2.22,0.28,2.26,2.06,-1.38,-0.93,"https://t1dindex.shinyapps.io/dashboard/?loc_id=380","1.0.4.15"
"Jamaica",2097.5,936.69,35.769999999999996,1.9,1.47,6.32,4.93,27.549999999999997,21.690000000000005,"TBD","TBD","TBD","TBD","TBD","TBD",35.769999999999996,29.21,40.64,47.93,"0.57%","0.94%","1.72%","100%","104.8%","109.83%","115.2%","120.91%","126.93%","133.35%","139.9%","146.79%","153.94%","161.32%","168.78%","176.5%","184.43%","192.51%","200.87%","208.94%","217.24%","225.65%","234.18%","243%","251.81%","260.66%","100%","100.75%","101.44%","102.06%","102.65%","103.21%","103.76%","104.28%","104.79%","105.32%","105.87%","106.45%","107.06%","107.68%","108.3%","108.9%","109.47%","110.02%","110.55%","111.06%","111.54%","112.01%","112.44%","100%","103.41%","106.95%","110.56%","114.11%","117.62%","121.53%","125.72%","129.79%","133.55%","137.18%","140.98%","145.08%","149.54%","154.12%","158.94%","166.82%","175.03%","180.66%","185.61%","185.61%","185.61%","185.61%","100%","101.3%","102.01%","102.48%","102.93%","103.73%","106.43%","111.24%","117%","123.74%","131.18%","138.42%","145.46%","153.29%","162.37%","172.16%","181.19%","189.58%","198.35%","207.29%","207.29%","207.29%","207.29%","100%","99.56%","99.06%","98.46%","97.7%","96.73%","95.03%","92.44%","89.5%","86.8%","84.96%","83.74%","82.57%","81.5%","80.59%","79.91%","81.44%","83.13%","82.86%","82.24%","82.24%","82.24%","82.24%","100%","99.03%","97.5%","95.77%","94.19%","93.12%","92.54%","92.1%","91.69%","91.3%","90.91%","90.55%","90.25%","89.98%","89.64%","89.17%","88.46%","87.55%","86.37%","84.86%","84.86%","84.86%","84.86%",76.41,35.769999999999996,3.9,"6%",276.52,1,11,310.63,276.52,1.3067665587021007,6.2,18,41.03166983020928,4.45,0.53,3.37,2.85,-0.88,-0.74,"https://t1dindex.shinyapps.io/dashboard/?loc_id=388","1.0.4.15"
"Japan",79225.63,11018.9,17.489999999999995,3.4,2.55,7.45,6.65,6.640000000000001,7.683999999999994,"TBD","TBD","TBD","TBD","TBD","TBD",17.489999999999995,18.136000000000003,67.88,64.628,"0.23%","0.41%","0.67%","100%","103.01%","106.2%","109.38%","112.35%","115.01%","117.2%","119.42%","121.81%","124.21%","126.58%","128.81%","131.15%","133.61%","136.16%","138.73%","141.17%","143.74%","146.44%","149.05%","151.64%","154.26%","156.94%","100%","100.15%","100.29%","100.41%","100.53%","100.62%","100.69%","100.75%","100.78%","100.79%","100.78%","100.74%","100.68%","100.59%","100.47%","100.32%","100.15%","99.94%","99.7%","99.43%","99.12%","98.78%","98.41%","100%","100.17%","99.52%","98.41%","97.56%","97.69%","98.69%","100.26%","102.04%","103.97%","105.9%","108.08%","111.05%","114.34%","117.63%","120.48%","123.06%","126.29%","131.18%","137.89%","137.89%","137.89%","137.89%","100%","108.36%","117.51%","127.27%","137.14%","146.76%","156.27%","166.26%","177.43%","191.35%","208.52%","227.7%","246.22%","264.55%","283.01%","303.19%","325.07%","344.19%","362.42%","379.89%","379.89%","379.89%","379.89%","100%","94.61%","88.85%","83.14%","78.04%","74.24%","71.32%","68.65%","66.23%","64.1%","62.36%","60.7%","59.06%","57.6%","56.51%","56%","56.75%","57.71%","58.36%","59.34%","59.34%","59.34%","59.34%","100%","97.87%","95.54%","93.11%","90.67%","88.31%","85.99%","83.68%","81.41%","79.18%","77.01%","74.83%","72.61%","70.46%","68.39%","66.45%","64.61%","62.82%","61.14%","59.54%","59.54%","59.54%","59.54%",85.37,17.489999999999995,0,"0%",0,1,0,1533.16,0,1.1117573827244247,3.5,18,39.719947229636006,2.07,-0.07,6.25,1.47,-2.34,-2.33,"https://t1dindex.shinyapps.io/dashboard/?loc_id=392","1.0.4.15"
"Jordan",6343.92,2581.74,33.440000000000005,2.1,1.47,7.04,4.93,24.300000000000004,21.690000000000005,"TBD","TBD","TBD","TBD","TBD","TBD",33.440000000000005,29.21,43.23,47.93,"2.23%","1.26%","1.08%","100%","104.05%","108.18%","112.74%","117.91%","123.85%","130.71%","138.61%","147.36%","157.15%","167.76%","179.37%","191.85%","204.72%","217.41%","229.35%","240.05%","249.78%","258.5%","266.01%","272.71%","278.64%","283.32%","100%","101.85%","103.81%","106.08%","108.94%","112.56%","116.97%","122.11%","127.99%","134.57%","141.76%","149.59%","157.93%","166.31%","174.11%","180.9%","186.52%","191.04%","194.54%","197.2%","199.18%","200.47%","201.09%","100%","104.58%","110.07%","116.43%","124.46%","133.82%","143.49%","153.56%","164.93%","177.62%","190.67%","204.95%","221.25%","238.68%","257.17%","277.52%","301.54%","328.35%","357.6%","390.61%","390.61%","390.61%","390.61%","100%","111.64%","123.68%","135.48%","151.04%","173.37%","195.78%","217.05%","240.88%","267.91%","295.98%","327.44%","360.42%","386.91%","410.33%","435.41%","462.27%","491.25%","522.3%","555.17%","555.17%","555.17%","555.17%","100%","101.83%","103.98%","106.55%","111.94%","120.4%","127.32%","132.18%","137.36%","143.38%","149.58%","156.73%","166.05%","175%","182.91%","191.68%","206.12%","221.53%","232.32%","242.47%","242.47%","242.47%","242.47%","100%","99.59%","99.71%","100.26%","103.4%","108.89%","111.85%","112.06%","112.06%","112.59%","113.56%","115.84%","120.1%","124.22%","127.63%","131.45%","135.83%","140.24%","143.77%","146.53%","146.53%","146.53%","146.53%",76.67,33.440000000000005,5.2,"8%",952.58,1,9.1,738.14,952.58,1.3067665587021007,5.8,18,41.03166983020928,4.85,3.23,8.1,6.39,4.11,1.75,"https://t1dindex.shinyapps.io/dashboard/?loc_id=400","1.0.4.15"
"Kazakhstan",5231.38,2016.05,29.120000000000005,2.13,1.47,4.93,4.93,22.060000000000002,21.690000000000005,"TBD","TBD","TBD","TBD","TBD","TBD",29.120000000000005,29.21,45.86,47.93,"0.14%","0.48%","1.05%","100%","109.61%","119.04%","127.37%","134.95%","144.12%","153.24%","161.67%","168.9%","176.44%","186.63%","197.34%","209.96%","223.43%","237.4%","252.19%","267.94%","284.24%","300.78%","317.89%","335.67%","354.28%","373.17%","100%","99.92%","100.36%","101.19%","102.19%","103.22%","104.21%","105.22%","106.3%","107.51%","108.91%","110.51%","112.26%","114.1%","115.95%","117.76%","119.49%","121.16%","122.77%","124.32%","125.83%","127.29%","128.7%","100%","102.02%","104.13%","106.34%","108.78%","111.71%","116.03%","122.09%","129.12%","136.31%","142.75%","148.51%","154.22%","160.21%","166.84%","174.29%","185.34%","194.61%","194.86%","187.5%","187.5%","187.5%","187.5%","100%","102.14%","104.49%","107.01%","109.65%","112.35%","114.81%","118.38%","123.6%","130.16%","138.06%","149.22%","162.51%","179.66%","203.07%","234.02%","274.9%","323.52%","375.33%","429.24%","429.24%","429.24%","429.24%","100%","98.88%","97.62%","96.41%","95.46%","95.1%","95.72%","97.27%","99.32%","101.51%","103.46%","105.21%","107.02%","108.98%","111.29%","114.03%","121.98%","131.11%","136.19%","140.44%","140.44%","140.44%","140.44%","100%","98.82%","97.77%","96.79%","95.84%","94.86%","93.65%","92.13%","90.44%","88.71%","86.98%","85.13%","82.94%","80.63%","78.47%","76.57%","74.94%","73.55%","72.44%","71.54%","71.54%","71.54%","71.54%",74.98,29.120000000000005,4.3,"5.2%",483.94,1,4.1,563.73,483.94,1.3067665587021007,6.8,18,41.03166983020928,6.17,1.15,6.85,2.9,1.56,-1.51,"https://t1dindex.shinyapps.io/dashboard/?loc_id=398","1.0.4.15"
"Kenya",23095.79,33976.34,46.88,0.81,0.708,1.91,1.4100000000000001,44.160000000000004,36.550000000000004,"TBD","TBD","TBD","TBD","TBD","TBD",46.88,43.67199999999999,24.14,30.208000000000002,"1.72%","1.67%","1.61%","100%","108.31%","118.41%","130.01%","143.96%","159.51%","176.62%","195.65%","215.82%","237.59%","261.18%","286.67%","314.7%","344.72%","376.62%","410.85%","447.25%","484.85%","523.88%","564.08%","605.76%","649.5%","694.42%","100%","102.77%","105.59%","108.49%","111.48%","114.58%","117.78%","121.09%","124.49%","127.96%","131.49%","135.08%","138.73%","142.41%","146.1%","149.79%","153.46%","157.12%","160.78%","164.48%","168.22%","172.02%","175.87%","100%","104.86%","110.12%","115.66%","121.33%","127.01%","132.93%","139.24%","145.92%","152.88%","160.03%","167.62%","175.72%","184.24%","193.02%","201.87%","211.76%","222.45%","234.18%","247.75%","247.75%","247.75%","247.75%","100%","99.5%","98.42%","96.88%","95.02%","93.18%","91.47%","90.39%","89.66%","89.32%","89.26%","89.15%","89.28%","89.48%","89.51%","89.43%","89.4%","89.33%","89.24%","89.05%","89.05%","89.05%","89.05%","100%","102.17%","104.37%","106.62%","108.9%","111.23%","113.42%","115.37%","117.21%","119.08%","121.16%","123.23%","125.08%","126.89%","128.85%","131.19%","139.16%","147.87%","151.69%","154.84%","154.84%","154.84%","154.84%","100%","102.99%","105.98%","108.99%","112.03%","115.15%","118.27%","121.35%","124.46%","127.69%","131.15%","134.8%","138.49%","142.19%","145.9%","149.61%","152.98%","156.37%","161.04%","166.96%","166.96%","166.96%","166.96%",71.02000000000001,46.88,3.9,"17.6%",6623.96,1,21.3,18614.54,6623.96,3.2336770219840876,6.7,18,41.072044186258765,9.21,2.6,-0.53,4.21,2.01,2.36,"https://t1dindex.shinyapps.io/dashboard/?loc_id=404","1.0.4.15"
"Kiribati",12.97,12.49,46.230000000000004,1.03,0.708,3.43,1.4100000000000001,41.769999999999996,36.550000000000004,"TBD","TBD","TBD","TBD","TBD","TBD",46.230000000000004,43.67199999999999,27.029999999999998,30.208000000000002,"0.25%","0.37%","0.5%","100%","107.12%","115.79%","124.77%","134.37%","144.58%","156.04%","167.18%","178.95%","191.64%","204.64%","216.72%","230.65%","245.82%","260.99%","276.47%","292.88%","309.29%","325.39%","342.72%","361.3%","381.11%","401.55%","100%","101.7%","103.44%","105.25%","107.22%","109.38%","111.77%","114.37%","117.01%","119.58%","121.95%","124.09%","126.01%","127.82%","129.6%","131.42%","133.32%","135.24%","137.24%","139.34%","141.51%","143.81%","146.22%","100%","104.89%","109.95%","115.12%","120.27%","125.34%","130.57%","135.92%","141.35%","146.74%","152.11%","157.66%","163.38%","169.1%","174.66%","179.97%","185.53%","191.26%","197.4%","204.38%","204.38%","204.38%","204.38%","100%","102.7%","105.35%","107.96%","110.43%","113.23%","116.77%","121.01%","126.39%","132.91%","138.52%","144.72%","153.03%","161.7%","169.9%","178.23%","187%","196.79%","206.93%","213.78%","213.78%","213.78%","213.78%","100%","100.67%","101.19%","101.62%","102.02%","102.47%","102.85%","103.05%","103.12%","103.09%","103.05%","102.78%","102.23%","101.66%","101.32%","101.52%","102.5%","103.85%","105.07%","106.16%","106.16%","106.16%","106.16%","100%","102.15%","104.44%","106.88%","109.42%","112.04%","114.71%","117.39%","120.02%","122.57%","124.98%","127.38%","129.87%","132.33%","134.63%","136.63%","137.94%","139.09%","140.51%","141.98%","141.98%","141.98%","141.98%",73.25999999999999,46.230000000000004,2.5,"11.5%",2.19,1,22.2,7.29,2.19,3.2336770219840876,6.5,18,41.072044186258765,6.52,1.74,3.51,3.3,0.27,1.61,"https://t1dindex.shinyapps.io/dashboard/?loc_id=296","1.0.4.15"
"Kuwait",34543.79,2554.85,21.269999999999996,2.76,2.55,7.73,6.65,10.780000000000001,7.683999999999994,"TBD","TBD","TBD","TBD","TBD","TBD",21.269999999999996,18.136000000000003,55.589999999999996,64.628,"3.34%","7.68%","19.49%","100%","106.91%","113.31%","119.83%","127.57%","137.25%","150.42%","165.58%","182.92%","202.39%","223.72%","246.59%","271.57%","298.68%","327.25%","356.12%","383.65%","411.11%","438.73%","467.2%","497.38%","529.17%","563.09%","100%","102.84%","104.49%","105.7%","107.6%","111.01%","116.06%","122.44%","129.87%","137.94%","146.29%","154.91%","163.75%","172.43%","180.48%","187.55%","193.48%","198.33%","202.3%","205.71%","208.82%","211.65%","214.18%","100%","106.34%","112.97%","120.93%","128.55%","136.2%","144.61%","152.89%","161.78%","170.79%","181.14%","193.46%","206.78%","221.42%","236.25%","251.59%","267.95%","286.35%","318.86%","368.89%","368.89%","368.89%","368.89%","100%","107.3%","114.47%","122.9%","132.38%","141.56%","151.1%","160.87%","170.25%","180.55%","192.01%","204.42%","217.37%","231%","245.27%","259.25%","273.37%","287.78%","302.46%","317.6%","317.6%","317.6%","317.6%","100%","101.91%","103.76%","106.59%","110.6%","115.83%","122.73%","130.35%","138.07%","146.24%","154.33%","161.67%","168.42%","174.87%","181.36%","188.47%","199.77%","212.43%","222.64%","232.38%","232.38%","232.38%","232.38%","100%","101.37%","103.08%","105.83%","109.5%","113.62%","117.66%","120.75%","123.01%","125.57%","128.82%","132.2%","135.35%","138.31%","141.28%","144.45%","147.91%","151.53%","154.95%","158.32%","158.32%","158.32%","158.32%",76.86,21.269999999999996,0,"0%",0,1,3.8,812.1,0,1.1117573827244247,5.5,18,39.719947229636006,8.17,3.52,5.39,6.11,3.91,2.11,"https://t1dindex.shinyapps.io/dashboard/?loc_id=414","1.0.4.15"
"Kyrgyzstan",1477.01,1024.22,43.23,1.31,0.708,5.48,1.4100000000000001,36.44,36.550000000000004,"TBD","TBD","TBD","TBD","TBD","TBD",43.23,43.67199999999999,30.42,30.208000000000002,"0.2%","0.56%","1.06%","100%","111.72%","122.66%","131.31%","139.28%","149.34%","159.81%","170.03%","178%","186.55%","198.16%","210.14%","224.05%","238.3%","252.98%","269.19%","285.27%","302.74%","321.46%","340.73%","360.53%","380.89%","401.67%","100%","100.86%","101.44%","101.89%","102.41%","103.14%","104.14%","105.36%","106.79%","108.42%","110.2%","112.14%","114.25%","116.48%","118.78%","121.11%","123.45%","125.79%","128.12%","130.39%","132.59%","134.71%","136.74%","100%","102.39%","104.81%","107.3%","109.9%","112.73%","115.92%","119.51%","123.43%","127.67%","132.14%","136.76%","141.56%","146.69%","152.32%","158.5%","167.02%","175.49%","181.84%","187.67%","187.67%","187.67%","187.67%","100%","107.81%","115.98%","125.35%","136.73%","150.34%","165.63%","182.89%","202.92%","223.51%","243.82%","263.2%","281.05%","296.26%","312.16%","334.2%","364.58%","404.53%","453.22%","510.84%","510.84%","510.84%","510.84%","100%","99.05%","97.68%","96.09%","94.59%","93.51%","93.25%","93.79%","94.73%","95.74%","96.46%","96.91%","97.5%","98.3%","99.4%","100.9%","103.59%","106.93%","110.09%","113.52%","113.52%","113.52%","113.52%","100%","99.89%","99.73%","99.46%","99.13%","98.71%","98.01%","96.99%","95.84%","94.77%","93.92%","93.26%","92.65%","92.04%","91.37%","90.56%","89.39%","88.16%","87.14%","86.22%","86.22%","86.22%","86.22%",73.65,43.23,2.3,"7.4%",186.7,1,21.5,598.33,186.7,3.2336770219840876,5.9,18,41.072044186258765,6.52,1.43,7.69,2.9,0.58,-0.67,"https://t1dindex.shinyapps.io/dashboard/?loc_id=417","1.0.4.15"
"Laos",1037.94,1018.4,44.87000000000001,1.1,0.708,4.11,1.4100000000000001,39.660000000000004,36.550000000000004,"TBD","TBD","TBD","TBD","TBD","TBD",44.87000000000001,43.67199999999999,27.72,30.208000000000002,"0.49%","0.31%","0.37%","100%","109.15%","119.05%","129.36%","140.6%","152.78%","165.51%","179.03%","193.53%","209.07%","225.58%","242.34%","260.19%","278.88%","298.86%","319.35%","340.81%","363.56%","386.85%","410.45%","435.13%","459.86%","485.95%","100%","101.61%","103.18%","104.75%","106.36%","108.04%","109.81%","111.67%","113.58%","115.5%","117.38%","119.23%","121.05%","122.87%","124.72%","126.63%","128.59%","130.61%","132.64%","134.67%","136.66%","138.61%","140.52%","100%","103.99%","108.1%","112.37%","116.82%","121.67%","126.7%","131.94%","137.45%","143.34%","149.82%","156.84%","164.5%","172.68%","181.18%","189.98%","198.67%","207.99%","219.02%","231.82%","231.82%","231.82%","231.82%","100%","130.66%","164.13%","196.47%","226.56%","253.22%","276.15%","295.94%","310.69%","320.26%","324%","325.8%","327.1%","325.32%","322.29%","318.93%","314.87%","310.62%","307.59%","306.88%","306.88%","306.88%","306.88%","100%","100.77%","101.42%","101.96%","102.48%","103.22%","104.24%","105.34%","106.41%","107.4%","108.24%","108.83%","109.28%","109.77%","110.47%","111.55%","113.56%","116.06%","118.85%","122.3%","122.3%","122.3%","122.3%","100%","101.27%","102.3%","103.13%","103.87%","104.76%","105.7%","106.43%","106.96%","107.42%","107.86%","108.25%","108.55%","108.79%","109%","109.23%","109.37%","109.59%","110%","110.44%","110.44%","110.44%","110.44%",72.59,44.87000000000001,2.7,"10.2%",173.26,1,22.1,592.71,173.26,3.2336770219840876,6.3,18,41.072044186258765,7.45,1.56,5.23,3.9,0.92,0.45,"https://t1dindex.shinyapps.io/dashboard/?loc_id=418","1.0.4.15"
