world_bank_name,united_nations_name,sub_saharan_africa,drop_country,world_bank_code,world_bank_classification,jdrf_region_name,jdrf_broad_region_name,jdrf_broad_region_code,legacy_region_code,legacy_region_name,loc_id,broad_region_id,region_id
Syrian Arab Republic,Syrian Arab Republic,FALSE,FALSE,SYR,LIC,Middle East,Middle East and Africa,MEA,EMME,Middle East & North Africa,760,4,5
Tajikistan,Tajikistan,FALSE,FALSE,TJK,LIC,Central Asia,Asia-Pacific,APAC,EUR,Europe,762,2,4
Thailand,Thailand,FALSE,FALSE,THA,UMIC,South-East Asia,Asia-Pacific,APAC,WP,Western Pacific,764,2,11
Timor L'Este,Timor-Leste,FALSE,FALSE,TLS,LMIC,South-East Asia,Asia-Pacific,APAC,WP,Western Pacific,626,2,11
Togo,Togo,TRUE,FALSE,TGO,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,768,4,12
Tonga,Tonga,FALSE,FALSE,TON,UMIC,Oceania,Asia-Pacific,APAC,WP,Western Pacific,776,2,11
Trinidad and Tobago,Trinidad and Tobago,FALSE,FALSE,TTO,HIC,Central America and The Caribbean,Americas,AMER,NAC,North America & Carribbean,780,1,2
Tunisia,Tunisia,FALSE,FALSE,TUN,LMIC,North Africa,Middle East and Africa,MEA,EMME,Middle East & North Africa,788,4,7
Turkey,Turkey,FALSE,FALSE,TUR,UMIC,Middle East,Middle East and Africa,MEA,EUR,Europe,792,4,5
Turkmenistan,Turkmenistan,FALSE,FALSE,TKM,UMIC,Central Asia,Asia-Pacific,APAC,EUR,Europe,795,2,4
Uganda,Uganda,TRUE,FALSE,UGA,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,800,4,12
Ukraine,Ukraine,FALSE,FALSE,UKR,LMIC,Eastern Europe,Europe,EUR,EUR,Europe,804,3,4
United Arab Emirates,United Arab Emirates,FALSE,FALSE,ARE,HIC,Middle East,Middle East and Africa,MEA,EMME,Middle East & North Africa,784,4,5
United Kingdom,United Kingdom,FALSE,FALSE,GBR,HIC,Western Europe,Europe,EUR,EUR,Europe,826,3,13
United Republic of Tanzania,United Republic of Tanzania,TRUE,FALSE,TZA,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,834,4,12
United States,United States of America,FALSE,FALSE,USA,HIC,North America,Americas,AMER,NAC,North America & Carribbean,840,1,8
United States Virgin Islands,United States Virgin Islands,FALSE,TRUE,VIR,HIC,Central America and The Caribbean,Americas,AMER,N/A,N/A,850,1,2
Uruguay,Uruguay,FALSE,FALSE,URY,HIC,South America,Americas,AMER,SACA,South America & Central America,858,1,9
Uzbekistan,Uzbekistan,FALSE,FALSE,UZB,LMIC,Central Asia,Asia-Pacific,APAC,EUR,Europe,860,2,4
Vanuatu,Vanuatu,FALSE,FALSE,VUT,LMIC,Oceania,Asia-Pacific,APAC,WP,Western Pacific,548,2,11
